1463852857;25.69;456;-16312;2300;-289;325;73
1463852874;25.69;428;-16408;2316;-295;262;89
1463852891;25.69;604;-16416;2328;-274;331;41
1463852908;25.69;620;-16408;2256;-270;392;73
1463852925;25.69;532;-16404;2348;-238;334;61
1463852942;25.69;468;-16452;2284;-240;367;62
1463852958;25.69;436;-16312;2352;-213;429;50
1463852975;25.69;420;-16360;2232;-217;492;57
1463852992;25.69;396;-16408;2252;-214;457;67
1463853009;25.69;392;-16412;2332;-225;409;38
1463853026;25.69;504;-16420;2312;-257;393;40
1463853043;25.69;404;-16404;2264;-305;362;2
1463853088;25.69;404;-16368;2284;-287;364;27
1463853105;25.69;360;-16324;2472;-320;334;65
1463853123;25.69;424;-16348;2260;-265;248;89
1463853140;25.69;592;-16484;2320;-256;252;38
1463853157;25.69;528;-16216;2248;-261;219;28
1463853174;25.69;540;-16236;2156;-284;272;20
1463853191;25.69;724;-16412;2108;-318;391;10
1463853208;25.69;596;-16340;2284;-298;415;34
1463853225;25.69;628;-16340;2228;-256;500;46
1463853242;25.69;588;-16356;2324;-269;443;50
1463853259;25.69;504;-16308;2516;-287;333;27
1463853285;25.69;480;-16448;2196;-285;335;-6
1463853302;25.69;408;-16368;2368;-302;336;1
1463853319;25.69;528;-16444;2372;-290;398;12
1463853336;25.69;464;-16356;2204;-295;374;12
1463853353;25.69;324;-16364;2312;-323;261;29
1463853371;25.69;248;-16276;2152;-393;91;5
1463853387;25.69;344;-16324;2276;-434;-47;-19
1463853405;25.69;364;-16332;2380;-544;-61;-30
1463853422;25.69;308;-16344;2216;-504;-27;-34
1463853439;25.69;520;-16448;2244;-472;-3;-3
1463853456;25.69;724;-16440;2180;-408;105;-16
1463853473;25.69;936;-16312;2336;-356;310;5
1463853499;25.69;704;-16424;2104;-287;366;2
1463853516;25.69;800;-16428;2204;-317;308;15
1463853533;25.69;784;-16424;2160;-269;319;-19
1463853550;25.69;764;-16364;2204;-313;418;-20
1463853567;25.69;776;-16452;2128;-295;694;-19
1463853584;25.69;812;-16476;2136;-293;747;-49
1463853601;25.69;852;-16420;1984;-328;621;-43
1463853618;25.69;804;-16432;2220;-321;484;-74
1463853635;25.69;744;-16368;1908;-347;586;-99
1463853652;25.69;804;-16468;2040;-402;500;-159
1463853669;25.69;868;-16532;1964;-464;423;-225
1463853695;25.69;724;-16420;1648;-636;727;-291
1463853712;25.69;476;-16376;2044;-739;785;-271
1463853729;25.69;564;-16360;2164;-734;748;-281
1463853746;25.69;348;-16436;2148;-696;707;-281
1463853763;25.69;312;-16360;2120;-615;798;-250
1463853780;25.69;284;-16292;2448;-494;830;-190
1463853797;25.69;276;-16360;2580;-289;777;-156
1463853814;25.69;124;-16256;2628;-123;676;-50
1463853831;25.69;220;-16312;2612;8;640;-16
1463853848;25.69;-12;-16228;2456;90;676;36
1463853865;25.69;-56;-16256;2504;190;627;27
1463853892;25.69;-96;-16292;2376;282;406;102
1463853909;25.69;-28;-16464;2572;317;321;161
1463853926;25.69;100;-16496;2632;312;240;176
1463853943;25.69;256;-16656;2724;265;-90;203
1463853960;25.69;560;-16544;2780;398;-300;229
1463853977;25.69;680;-16536;2364;354;-443;128
1463853994;25.69;864;-16432;2216;195;-443;49
1463854011;25.69;832;-16472;1808;89;-463;5
1463854028;25.75;672;-16392;1896;-133;-306;-45
1463854045;25.75;724;-16404;2204;-208;-178;8
1463854062;25.75;784;-16296;2248;-117;215;56
1463854089;25.75;664;-16276;2408;-33;605;47
1463854106;25.75;372;-16288;2612;86;744;62
1463854123;25.75;404;-16476;2812;199;867;102
1463854139;25.75;356;-16644;3156;511;809;150
1463854156;25.75;536;-16512;3080;631;523;143
1463854173;25.75;720;-16656;3388;830;673;194
1463854190;25.75;600;-16720;3300;1195;930;169
1463854207;25.75;492;-16712;3344;1545;1088;177
1463854224;25.75;476;-16736;3432;1764;1233;183
1463854241;25.75;388;-16736;3656;2140;1560;169
1463854258;25.75;288;-16628;3880;2612;1818;200
1463854275;25.75;452;-16416;3580;3239;1748;316
1463854301;25.75;540;-16220;3840;3371;2046;385
1463854318;25.75;-20;-16016;3980;3943;2111;639
1463854335;25.75;-44;-15704;4004;4409;1299;976
1463854352;25.75;-416;-16064;4076;4886;1810;1432
1463854369;25.75;-144;-16380;4324;4344;1654;1768
1463854386;25.75;-1396;-16720;4236;2345;693;2287
1463854403;25.75;-1880;-17332;3984;2371;1759;2704
1463854420;25.75;-1068;-16980;3704;1799;1523;3133
1463854438;25.75;-1628;-16920;3980;1917;-368;3549
1463854455;25.75;-1404;-16580;4352;2046;-1288;3694
1463854482;25.75;-860;-16624;4224;1803;-1868;4220
1463854499;25.75;-552;-16980;4580;1830;-1524;4540
1463854516;25.75;-220;-16448;5336;1844;-1425;4632
1463854533;25.75;-316;-16068;5228;1981;-3423;4825
1463854550;25.75;56;-15868;5076;2487;-3341;4893
1463854567;25.75;304;-15684;5592;2940;-3919;4731
1463854584;25.75;212;-15268;5464;3096;-4562;4578
1463854601;25.75;108;-15180;5336;3286;-4731;4145
1463854618;25.75;100;-14960;5368;3229;-4510;3679
1463854636;25.75;-236;-14936;5300;2990;-4232;3112
1463854663;25.75;-564;-14636;5088;2144;-3567;2399
1463854680;25.75;-712;-14500;5500;1712;-3066;1873
1463854697;25.75;-892;-14184;5560;988;-2726;1431
1463854714;25.75;-564;-13844;5508;-340;-2177;1092
1463854731;25.75;-60;-13708;6316;-1251;-1700;576
1463854748;25.75;-244;-13788;6764;-1903;-1948;-210
1463854765;25.75;-1080;-14384;6956;-2347;-2023;-937
1463854782;25.75;-1892;-14380;6696;-3225;-2998;-1602
1463854799;25.75;-2112;-14680;6380;-3802;-2499;-1587
1463854817;25.75;-2656;-15452;6172;-3594;-1935;-1234
1463854843;25.75;-2572;-15380;5180;-4666;-1761;-443
1463854860;25.75;-2324;-15512;4792;-5211;-3008;-71
1463854878;25.75;-1640;-16604;4312;-5447;-4073;242
1463854895;25.75;-2052;-18092;3436;-5470;-2714;449
1463854912;25.75;-900;-19600;2876;-5025;-606;254
1463854929;25.75;112;-18804;2884;-4443;1558;213
1463854946;25.75;396;-16284;4200;-4732;2258;493
1463854963;25.75;1544;-14628;4304;-5268;1010;456
1463854980;25.75;568;-14124;2636;-6166;778;15
1463854997;25.75;1740;-14044;3860;-6573;986;-797
1463855015;25.75;1508;-15024;4700;-6332;1224;-2007
1463855041;25.75;680;-16776;4384;-5853;998;-3449
1463855058;25.75;-52;-16764;2992;-5814;149;-3469
1463855076;25.75;-316;-16420;1652;-5574;980;-3192
1463855093;25.75;-672;-15796;1492;-5537;3362;-2634
1463855110;25.75;-1592;-16436;1864;-5558;3218;-2304
1463855127;25.75;-1492;-16404;1596;-5325;2580;-1784
1463855144;25.75;-892;-15840;-340;-5473;1969;-1300
1463855161;25.75;-196;-15976;-448;-5555;1286;-1036
1463855178;25.75;196;-15912;684;-5656;490;-924
1463855195;25.75;776;-16204;840;-5830;-333;-1127
1463855222;25.75;1272;-16104;-520;-5885;-434;-1795
1463855238;25.75;1220;-16272;-836;-5836;-42;-1911
1463855256;25.75;1244;-16472;-928;-5353;0;-1745
1463855273;25.75;640;-16836;-212;-4611;102;-1596
